net,sta,lat,lon,elev,lito,lito_code,luse,luse_code,coast_dist,road_dist
IT,CSP,44.3784,11.5801,0.088,3,Al,100,SL,57.7130755079431,64.7376441612566
IT,CSS,41.4858,13.8231,0.175,12,Cr,100,SL,27.6341485706995,29.51033740327192
IT,CST,45.6595,11.9023,0.487,3,Al,210,ACL,47.4538559282132,14.726937355608383
IT,CTD,42.3884,12.9477,0.484,12,Cr,100,SL,93.1101422482225,69.3279482137013
IT,CTL,43.955,12.7358,0.062,17,Ucr,100,SL,1.48441061890692,70.40360814852899
IT,CTN,38.9171,16.5849,0.432,16,Ccr,100,SL,10.7220790023205,7.353974531006235
IT,CTRL,42.5978,13.1626,0.844,3,Al,210,ACL,70.7677707153803,13.869963853887004
IT,CTS,43.4919,12.2233,0.303,3,Al,100,SL,67.7783451961896,19.18610274909873
IT,CTU,37.8232,13.8904,0.703,10,M,100,SL,18.4573540260979,46.968792986489696
IT,CTV,38.3498,16.0804,0.468,17,Ucr,100,SL,19.5009293687217,4.519632520439404
IT,CTZ,38.9407,16.5851,0.452,16,Ccr,100,SL,13.2222046095154,26.424873452293586
IT,CUN,44.4165,7.536,0.568,3,Al,210,ACL,69.3635048894336,4.33750851274754
IT,CVD,46.0888,13.3998,0.13,3,Al,100,SL,33.2319883783652,19.24317438067937
IT,CVF,46.0918,13.429,0.177,3,Al,300,FL,32.9200754001386,4.291531583574503
IT,CVL,39.8168,16.1947,0.484,12,Cr,230,GL,25.2519991819897,15.24012235735558
IT,CVM,42.9941,11.2822,0.351,14,Nsr,100,SL,39.6625210106797,19.069759254856358
IT,CVT,44.0061,11.9368,0.228,6,Ssr,100,SL,43.8312754353116,10.026210387612757
IT,DANT,46.5675,12.5199,1.453,6,Ssr,230,GL,110.113103404088,8.836263760392695
IT,DCM,43.8912,11.518,0.2,17,Ucr,100,SL,79.3397277711824,21.71028768487617
IT,DMD,46.0962,8.2351,1.748,14,Nsr,230,GL,189.761468944893,39.3988022952511
IT,DMN,44.3151,7.271,0.768,3,Al,100,SL,62.5186695019903,32.91802377501635
IT,DNMM,38.5126,16.1705,0.653,17,Ucr,100,SL,22.8689902973467,19.172294524242865
IT,DRN,46.1666,13.6417,0.784,6,Ssr,300,FL,41.0878425732516,5.147265517141209
IT,DSG,45.4591,10.5575,0.13,4,Gd,100,SL,162.630534445844,3.9434176553001024
NI,DST2,45.6589,13.8013,0.08,6,Ssr,100,SL,2.56813478243905,9.388697859936174
IT,DUR,41.6611,14.4565,0.941,2,CM,100,SL,52.8720493540481,223.55214561295725
IT,EBO,40.5241,15.0028,0.027,3,Al,100,SL,6.89895755913033,31.80725243601219
IT,ERI,38.0395,12.5791,0.659,12,Cr,300,FL,2.54595007836798,51.06557810318711
IT,FAG,46.098,13.0914,0.185,3,Al,100,SL,43.5136614351299,53.47095438534237
IT,FAV,37.9271,12.3258,0.06,16,Ccr,100,SL,0.261693447922084,13.331543146001412
IT,FAZ,44.298,11.8907,0.072,3,Al,100,SL,36.3998707800831,7.64040470753767
IT,FBR,43.3436,12.9119,0.0315,3,Al,100,SL,50.0306220666523,8.553274430436497
IT,FDF,38.7891,16.3,0.653,15,Sr,100,SL,7.9061341677595,66.31005361176194
IT,FDS,46.4513,12.5627,1.795,12,Cr,230,GL,96.7916126361269,15.86616661361828
IT,FEN,41.6925,13.256,0.42,6,Ssr,100,SL,43.925896785527,30.964994365347746
IT,FGV,43.6014,11.4116,0.344,6,Ssr,100,SL,92.7143010359276,13.426818699282776
IT,FIC,44.9538,11.4517,0.057,3,Al,100,SL,65.597117295617,31.47692994341373
IT,FIE,43.8072,11.2944,0.348,6,Ssr,100,SL,86.1503651320825,2.522609680905405
IT,FLP,46.0266,11.9225,0.294,3,Al,210,ACL,76.5862611238545,10.69928687427991
IT,FLT,41.8933,13.3254,1.087,12,Cr,100,SL,66.23487699257,21.284655620124955
IT,FMG,42.268,13.1172,1.073,17,Ucr,230,GL,97.6010101164396,2.083885589456294
IT,FMNT,43.1836,12.9381,0.493,3,Al,100,SL,62.7133542640987,114.44259851989568
IT,FMT,43.188,12.9332,0.497,3,Al,100,SL,62.4266756816532,20.877666552420788
IT,FOC,43.0263,12.8965,0.821,3,Al,100,SL,79.5355724487107,73.56652306852266
IT,FOCC,42.9574,12.7079,0.283,3,Al,100,SL,94.1168227024243,30.68466769250328
IT,FOGG,41.4589,15.5562,0.063,3,Al,100,SL,30.2849973261397,21.57572681974552
IT,FOPC,42.9697,12.7031,0.3,3,Al,100,SL,93.0651198490712,23.541805687160007
IT,FOR,44.1994,12.0419,0.077,3,Al,100,SL,26.5871112878644,11.154761583228437
IT,FOS,43.0146,12.8351,0.965,12,Cr,100,SL,83.2749717515923,0.1962650626056659
